Confession,Labels
"['First Love\n', '\n', ""I don't think I will ever get over my first love. I'm happily married, but whenever I come across an old letter or photo of or from my ex, it still breaks my heart. Will I ever get over him? It's been ten years by the way""]",1
"[""I'm in love with a coworker\n"", '\n', ""I've known and worked with J for about 1-1/2 years. We've been friends, spent time socially with one another. She even bought me a lap dance at a club once (she went along on the theory that we'd draw more attention with a girl with us than alone, and she was right.) Simply put, I've fallen in love with her. I've seen both her good side and her bad side, but everything seems better when she's around. We have similar views, similar upbringings, and have fun when we are together. She is currently unattached, although there is a (much younger) guy she's been hanging out with and seems to like, and it's pretty clear that she wants a relationship with this guy. We work at a small company, so there's no way a relationship between us could happen. Plus, I'm sure she's not interested, which makes me kick myself in the butt for allowing myself to feel anything for someone I know doesn't reciprocate. I'm old enough to know better.""]",1
"['Poop @ work\n', 'I always use the handicapped stall at work so I can set my coffee on the handrail and enjoy a quiet poop and sip coffee. I hate it when the wheelchair guy sits patiently outside the door...waiting...']",0
"[""I don't think the guy my friend likes would make a good couple\n"", '\n', 'So there\'s this guy that my friend likes. But I don\'t really think they make a good couple because I think me and the guy she likes are soulmates. We have so much in common. I\'m afraid to tell her this because she\'ll probably get mad and say that I am ""stealing"" the guy she likes and im gonna ask him out or something. I\'m not really attracted to him but if he did ask me out I think I\'d say yes. We\'re like totally soulmates!! Thanks for listening.']",0
"['I shot my sister\n', '\n', 'Four years ago (as annually) me and my family went out hunting in the woods. In one session i fired a single round from a safari 550 into a bush (which i assumed was a deer as my family was hunting in a different section). It just so happened that my sister cassy was trying to make me jump for a prank....The hospital says that i had shot her clean through her diaphragm, she cant talk now. At the time i couldnt live with my self, but now i have came to accept that my future isnt in my hands.']",0
"['Guilt\n', '\n', ""I have so much guilt over things that I have done or thought I have done. Thats the problem, I don't know if I really have done it, or if my mind is taking over. I just want to be forgiven so I that I can have my mind back.""]",0
"[""i'm 20 years\n"", '\n', ""i'm 20 years old. i made out with my TA (teaching assistant) who is 31 years old.""]",1
"['settling\n', '\n', ""I think I'm settling. I've been with a guy for 3 years. We broke up last year and were both heart broken, so we got back together. Things are much better but I feel like in the long run, we're not meant to be, we're just too different. I'm sure people look at us and wonder what I'm doing with him. Now we're getting a place together and talking about marriage. I know now is the time to get out, but I'm not going to. What a dumb girl I am.""]",1
"['FOOOOOOOOD\n', '\n', 'I just ate sooooooo much. I was doing really well and i had to muck it up! Is tomorrow a newday?']",1
"['ex\n', '\n', 'i called my ex bf 2 times, but when i told my current bf about it, i only told him that i called my ex 1 time.']",0
"['i fell in\n', '\n', 'i fell in love with a girl 3 years ago, but was never able to tell her, now to this day i sit here with regret']",0
"['Mistake\n', '\n', ""I don't love my husband of three months.""]",0
"['love is depressing\n', '\n', ""I've liked the same girl for the past 3 years. I always do stuff for her but she has no idea i did it. The other day i found out she just got a boyfriend. It's so depressing cause this guy isn't as smart as me, not as nice to her as me, way fatter than me and is ugly. Even her best friend is with me on this one. What is wrong with me, she picked someone like that over me...""]",0
"['worst thing ever......\n', '\n', 'i was really drunk and at a party and while in the bathroom to use the toilet i saw $20 and i took it - i feel sick about it now - i can not even believe i did it - i hate people like me who do things that horrible low - i stole from someone- i am going to give the money to charity-']",0
"[""I check my college boyfriend's blog\n"", '\n', ""I check his blog every couple of months - not because I miss him, but because it's gratifying to see how boring he and his new wife are. He dumped me after he found out I was pregnant in college because he wanted to date my best friend. It's so fun to see what a loser he still is! Take heart people...sometimes a breakup is the best thing that can happen to you, even though it may not feel that way at the time.""]",0
"[""this boy.. completely different.. and.. i know i don't feel the same about him now as i used to, but when he told me one night- drunk off whiskey shots- that he really really likes me.. and has for months... and.. i count back..to every last time i saw him- and we always end up mildly physical (cuddling, etc) and i wonder why.. even though my now boyfriend.. was always there.. and always got upset with me (considering he's been broken from cheating more times than once)... that i let any of this happen am i starving for attention?""]",0
"['ive been stealing\n', '\n', 'ive been stealing all my life. i dont need to but i do it to have money to drink. sometimes to buy stuff for girlfriends.']",1
"[""he's my first\n"", '\n', ""he's my first boyfriend and we've been together for three years. i left to study abroad for a few months and while in rome i met a guy at a club. we danced like i didn't have a boyfriend and he slowly leaned in and kissed me. i kissed back. i knew it was wrong, but at the same time i really wanted to have that experience. i've never kissed anyone else, so curiosity got the best of me. i could have prevented it, but deep down inside i didn't want to so i let it happen. i knew i should have told the guy i had a bf, but i didn't because i didn't want him to stop dancing with me. so after a while it led to kissing. i pulled away though because i felt bad, but then later he kissed me again. i felt really guilty for enjoying it. i never got to say goodbye to that guy in rome that night, so i looked him up on his school directory and emailed him just to let him know i had a good time and to say goodbye. i wasn't even sure if that was his email. i only knew his first name and the school he goes to. i never got a response, but that doesn't matter because i just needed the closure. i still think about him now that i'm back from time to time. it's a great memory and i'm glad i got it out of my system.\n"", '\n', ""i decided not to tell my boyfriend because i know it'd crush him. it's a special memory of my time abroad that i keep for myself. i don't regret my decision of not telling him the truth. there's no point spoiling our relationship over my mistake. i'll never see that guy again and i know it'll never happen again. it was just something about that particular guy, being in rome, and kissing someone for the first time that wasn't my bf. i do feel reallly bad sometimes when he jokingly asks if i met anyone while i was away. i hate having to lie to him.""]",0
"['Thief\n', '\n', ""I have stolen thousands of dollars worth of merchandise from my employer and I can't make myself stop...""]",0
"['other\n', '\n', 'My best friend moved away 1 year ago and i hate it that she has moved on and has new friends i always look at her Facebook page and look at all the pictures of her with her friends and boys all over her i hate it.']",0
"['animal abuse...\n', '\n', 'All my life ive made impulse buys of all kinds of animals: birds, rabbits, rats, axolots, turtles, mice, and most recently a dog. i guess i get comfort from taking care of them because i dont get along with people. but it seems the novelty always wears off and i end up abandoning them. once i left two mice in a tank without food for over a week and the bigger mouse had eaten the smaller one. i killed an axolotl simply because i was too lazy to change the water. ive let turtles go in a park pond, and abandoned a rat on a roof from a 2nd floor window. i did this knowing fully it probably wouldnt survive. also when i was 15 and had a pet parrot, it wasnt acting the way i wanted it to so i got frustrated, put it in a box and shook it very hard. the parrot was injured. ive also hit rabbits in anger. i got a puppy on impulse the other week and at first i was very caring and did my best to care for him. i spent over $500 in vet bills. but i found it harder and harder to control my temper when he whined, and i hit him twice. today i got in a cab and took him to a park, and left him there. hes only 9 weeks old. im scared of myself that i could do something like that almost robotically, without any emotion. the reason i didnt give him to a shelter is because i dont want people to know what an irresponsible animal abuser i am. i even have a plan to say he was stolen, and play the victim. ive never hurt an animal for pleasure, but the times i abused my bird/rabbit/dog, it was definitely abuse because i was taking my anger out on them. the scary thing is i also have a cat, ive never hurt him and hope i never will. i know people like me shouldnt have animals. im seeing a therapist but this is the one thing i could never, ever tell another human being in person. i know people who read this are going to be disgusted. honestly i dont really care how you react because i disgust myself too and i just wanted to get this off my back anonymously.']",0
"['Broke Up\n', '\n', 'i broke up with this wonderful gf for no good reason. i was a highschool freshmen and she was a senior and i was too stupid to try to stick with her thru college. all my friends think shes bad cuz of various reasons which are all made up. i made them up. i didnt wanna talk about her cuz i missed her so badly. so i told every1 she cheated on me. but i miss her soo much. and i cant tell anybody. she knows i miss her. we hung out a while ago and we cld tell. jst...its not possible and it makes me depressed. i hate college.']",0
"[""After he left my life, it took me a very long time to recover. I became extremely depressed and only this year have returned to a state of normal behavior. During this time period I think I went on 2 dates, both with different guys. I wasn't really interested in either one of them, in fact the very thought of their possible affection for me was a bit revolting. However, I needed to go out on those dates, because even though I felt absolutely nothing for those boys my need for acceptance and normality overcame my disgust.""]",0
"['Poo\n', '\n', 'I cannot poo anywhere but my own home its hard enough peeing somewhere else but about a year ago i went with my friend to Disneyland for spring break.....i didnt poo for 5 days straight. on the sixth day i went into an employee only bathrrom and pooed, we\'ll just say that the ""small world"" was very easily gassed']",1
"['whats wrong with me....\n', '\n', ""it started out as a little white lie... it just a little white lie, meant to brush someone's rude comments off.... I dont know how it happened but its become a monster, I'm so deep in this lie I cant get out. The worst part is I'm starting to believe it, I'm losing my mind because I cant tell the difference anymore. My life is about too fall a part because of I cant seperate whats real & whats not.... I'm on the verge of losing my job & my mate, both are the best things that have ever happened to me... I just want to all to end... I dont want to lie, I dont want to feel like this, i want to know who & what I am..... I just want to at peace to be stable, to be... Normal....""]",0
"['GF\n', '\n', 'this girl and i were getting along so well, then all of a sudden i asked her out, she said sorry i have a BF. i hate him i hate me i hate life KILL ME!!!:@']",0
"['Over Analyzing?\n', '\n', ""so i just found out that my boyfriend's ex and her brother, who was his best friend back in the country where he grew up (before moving here when he was 16) share the same birthday as my sister and my mom. i've always thought that it was unfair to his ex that he was forced to move here and when he met me, i felt as if i became another barrier to their relationship even though they broke up a good two years before we met. i never found out much about his life back then because i was afraid that i might find out things that would make me feel very insecure. i have a gut feeling that his ex was his great love (everyone's gotta have one unforgettable love right?) and i can never be loved as much as she was. i must confess that my love for him is unaltered even after thoughts (of which were my own) that i am not the one he loved the most. in fact at most times i feel like i am another barrier separating him and her. i love him so much but these crazy thoughts are seriously screwing with me. maybe i'm over analyzing it too much. he has been a WONDERFUL boyfriend to say the least. we've been together for almost 3 years and our families have met. marriage is on the cards. everything is just perfect. on the surface. i have this crazy crazy feeling that i'm not really the one he loves the most even though he has told me countless of times that i am the best he's ever had. but come on, ALL my boyfriends say that. it's not even counted anymore. haha. guys just say anything to make a girl feel good. even if it's a lie. and every time my sister and my mom celebrates a birthday, i am reminded of this life he once had and the people he loved whom he left years ago. i feel like i am the third party even though i am the girlfriend right now. this is insane isnt it? it's 4am and this is running through my head. is anyone even reading this? god. i need to get out. i need someone to slap me silly.""]",1
"['Mistake\n', '\n', ""I am in love with a Woman I am not with because I married a woman I am not in love with. I married the mother of my beautiful daughter, but I am not in love wiht her. She is a great woman, beautiful, passionate and caring, but I am in love with another woman with all of those attributes and more. She is the woman I think about when I am sleep, the first woman on my mind when I awake. I hurt her so bad when I told her I wanted to see if I could make it work with my daughters mother that she had to start seeing a therapist and has not been to work in over a month. I want to make things up to her, but nothing mends a broken heart but time. God I am sorry I am not honoring my vows to my wife. I have not been with anyone since I got married, but LK has my heart and I don't know if that will ever change.""]",0
"['I love you\n', '\n', ""i told my bf he was the first person i ever said i love you to, but its not true. i got caught up and a lame internet thing and i felt guilty for not liking the guy as much and i told him i loved him and convinced myself i liked him more than i did. I look at it as my one do over. That im allowed to make that one mistake, so it didn't really count""]",0
"['sometimes\n', '\n', ""i'm a christian, but sometimes i don't beleive that god is really there. i think he is just made up, i know he's real but i always have my doubts.""]",1
"['is this what i deserve?\n', '\n', ""my dad is an alcoholic he's like 2 different people, i hate him i hate myself for hating him and im in love with a guy who doesn't want me anymore..and i let what people say get me down..oh and i want to hurt myself right now...ive had a very wonderful day/life....as you can see""]",0
"['old flame\n', '\n', ""i used to think we might be together. then she got married. today i learned she is now divorced. we have started talking again and are meeting next week. i can't stop thinking about her. my current 'girlfriend' is several hours away - it is not going anywhere. i haven't been this wrapped up about a girl in years. trying to play it cool, but i really want her BAD""]",0
"['Scared to move on with my life\n', '\n', ""I have been with my husband for close to 6 years now. When I married him I really didn't want to get married again. Since we have been married, we have had 2 beautiful daughters who are 5 and 3. I do not love my husband. During a recent trip to FL, I cheated on him with an old friend from HS and fell for the guy. I am now secretly stealing money out of our account for plans to move back to FL where I am from. I am scared my husband will try and take my little girls away from me. He has threatened me with it before. I am scared of him. He has said he would put my body in a cornfield. He has shoved me and threatened bodily harm and dragged me through the house by my hair.""]",1
"['Wasting Time\n', '\n', ""Dear co-worker: I'm only offering to help you with your work because your lack of work is affecting others. I'd feel much better about helping you if you didn't spend 4 hours of your workday on facebook and gchat.""]",0
"['I got that girl fired\n', '\n', ""I don't think it's really a confession, and I don't feel bad about it, but I got a girl fired from my job. She is honestly a bad person, and my company was paying her $16/hour to sit on her butt and look at Myspace. Her not doing her job was interfering with my job, so I went all cloak and dagger with it and got her fired. We were 'supposed' to be 'friends', but I actually hated her. I think it's unfair for people like that to basically get away with murder their whole lives. She started rumors about me after she put two and two together. Let's just say I wouldn't bat an eyelash to burning her house down and stab her ashes. Hope she has fun in hell someday.""]",0
"[""i've been really\n"", '\n', ""i've been really depressed for a long time. I'm really unhappy about my life right now. I miss my friends who somehow drifted apart. I'm always stressed out about school. I'm stressed out about my parents and their financial issues. I just want to be able to take charge and fix things for myself so badly but I just cant do this alone. Things have fallen apart, and I don't know how i'm supposed to move on.""]",0
"['Typical\n', ""He's 33, I'm 17. He USED to be my teacher. I don't see a problem, I don't think that he sees much of a problem. But he hasn't kissed me yet and I want him to kiss me so god damn much. He came on holiday with me and my friend for four days and I realised how great we are for each other, how much we click. I'm so scared that we will never happen and we will have both walked past the best thing in our lives.""]",1
"[""I stole my friend's (for 9 yrs) boyfriend.\n"", '\n', ""In the eyes of my other high school friends, I am the witch. I am the one who *stole* him away. He and I have always liked each other for the past 3 years, but he was too chicken to ask me out during that time, fearing a loss of our friendship. Eventually, and 3 years later, we confessed how much we liked each other. It actually happened WHILE he was still with his gf. He dated her because he suppressed feelings for me to keep our friendship. Unfortunately, he realized there was something missing in his life when he moved to another city to be with her: and it was me. Now I've lost those high school friends because I chose to be with him. Some have been ignoring me. One that I used to talk to a lot deleted me on facebook. Another mutual friend seems distant when she talks to me. I should start accepting that those girls won't talk to me again for a mistake that I made. Is this guy really worth it? He was my best friend for 3 years. He's really something to me though. I couldn't hide my feelings any longer.""]",0
"['in love with brothers wife\n', '\n', 'I am total in love with my brothers wife, he has been with her for 20yrs, so i have known her just as long, and have fancied her since then. I would love to be with her all the time, however just one night of passion with her would be a dream come true.']",1
"['I eat...\n', '\n', 'I eat things off the floor :)']",1
"['Stupid Heart!\n', '\n', 'Ok, so I\'m only fourteen, but that doesn\'t mean I can\'t fall in love, but my stupid heart decides to fall for one of the hundreds of guys I can never have and at a time when I barely believe my heart\'s there! STUPID HEART WHY CAN\'T YOU STOP THE B-BMP TILL I\'M HAPPY AGAIN?! See, I\'m having trouble getting over some things that happened in my past, so I decided that I wouldn\'t fall in love till I could cry again as I believe being able to cry at the sad times is a sign that you\'re usually truely and honestly happy, well I haven\'t really cried in about about a year, so I don\'t think I\'m very happy, but my stupid heart had to decide ""Hey, check it out, here\'s a guy I\'ve none literally my whole life, he\'s three years older than me, there\'s not a girl not after him, and he\'s kinda nice, hmm... I know let\'s get even more confused and fall in love!"" STUPID, STUPID HEART!!!!!!!!!!']",0
"['Thanks alot\n', '\n', ""You make the plans okay? Every single time I try to please everyone, I get shoved back in the corner with other plans. Why can't you people just listen to me for once and do what I feel like doing. It is always about your plans.. that him and I always have to follow. Just listen to me for once, please. Don't make things harder. I am stressed because of it. I do not have a say in anything I get to do, which is pretty pathetic. Thank you for taking my voice.""]",0
"['Today was my birthday.\n', '\n', ""Dear Aiden, I really love you and care about you-more than you could possibly know. Every day I was glad to listen to your stories and hear about your day. I would do anything for you. But today - Today was my birthday. And you didn't even call. Today, for once, I don't even want to hear about what you did. Today was my birthday. And you forgot. That's how it is right now. You don't even care about me. I am nothing to you. You were my everything. Love always""]",0
"['One thing that\n', '\n', 'One thing that really pisses me off is when people try to teach me something that I already know. I get angry and very bitter~ and then I feel all bad... Pride seems to always get in the way of good times to relearn something.']",0
"['afraid of waking up...\n', '\n', 'sometimes (like now) i am afraid of going to sleep because i know i have to get up in the morning and start another day.']",0
"['is this cheating?\n', '\n', ""So I am tossing and turning. I cannot get MJ out of my head. I try and I try. I wonder what if she was the one. We were both much younger but still at an age when people can start their 'forever.' If Y (current serious girlfriend) finds this I am a dead man. Perhaps it would be of note that I tied G's (most serious ex) shoelaces in a dream two weeks back. More dead man material. Now back to MJ. We held each other once, it was an eternal embrace. At that time I was in the pre-stage of being with M and I could not betray that. I should have. I still remember vividly. Her soft cheeks brushing against mine, lips being carefully avoidant, but they knew what they wanted. I'll never forget her warm body and bosom pressing against me. Oh god, if I believed in one, take me back to that embrace. I wouldn't have pussied out and asked to be taken home. We both wanted things from each other that night. Couldn't say if they were the same things, but I denied us our night.""]",1
"['give him to someone else...\n', '\n', 'I live with my boyfriend but there was never real love... But he\'s a kind person, I\'m afraid of all the hurt I cause if I simply break up. So I\'m trying to push him to cheat on me... Like dating with other people (and nice girls without bf in that group), then 14982""']",1
"['Best Friend\n', '\n', 'Even though everyone thinks our friendship is perfect, I secretly HATE my best friend. She\'s one of those trampy, ""codependant"" girls, who always run back to a guy even though they treated the girl like trash. She goes around calling herself ""emo"", even though everyone knows she\'s a poser. The only reason I haven\'t stopped being her friend is because I don\'t want to throw away the friendship we have had since 2nd grade.']",1
"['i loved you.\n', '\n', ""did you hear me? I loved you! yeah, and what did it get me? I'll tell you-- nothing.""]",0
"['Relationships\n', '\n', 'So. I feel like all my relationships are messed up. Here\'s the deal. I\'ve been dating this guy for 3 months. We dated last year for half a year before I screwed things up and ended it. This time though, I really feel like I might love him, but it\'s just not working out the way I hoped. The guy I\'m with is an amazing guy though. He\'s just the sweetest. But I keep feeling like I\'m screwing things up. I\'ve been talking to a few other guys and planning to hang out"" with them. I don\'t feel bad at the time']",1
"['this girl\n', '\n', 'in high school my freshman year i was in love with this one girl but i never had the courage to approach her despite reoccurring classes with her..... now in my junior year she has a boyfriend and i feel awful to say the least']",1
"['i have everything and i want more\n', '\n', ""my boyfriend is the best guy in the world. if i were a bit older (im 19) i would probably marry him. he's 21 and has everything going for him. problem is we never see each other. im the type of person that has to have attention all the time. so because i don't get enough protection from him i have to go out and get attention from some other guy. last nite i went out with a guy that i knowingly had a crush on. we made out....nothing more and i feel like poo. i love my boyfriend with all my heart and this isnt the first time i've cheated on him. i do love him with all my heart but breaking up isnt right for me. cause all i want is to see him more and if we break up i'll never see him. i just want him..and i can't have that at the moment. with school and work and everything..we just dont actually have the time. so it's either i sit here and cry all the time or i just try to control myself and just go to school and work. ..i just dont know what to do....""]",1
"['.. its a crush\n', '\n', 'I have an crush.. very much unrequited with this hottie baseball player that is in some of my classes. I am not an ugly chick.. if I actually try I can look like a hottie myself but damn this dude is a mystery to me! Why the hell do we always want things at are just out of reach!??']",0
"['Nose picking\n', '\n', ""I still pick my nose and eat it, even though I'm 30 years old. The sad part is it doesn't gross me out to do it, but when I see a kid do it, I want to throw up. Sometimes I even pick in my sleep and worry that my boyfriend will discover my disgusting secret.""]",1
"['IN love with an old love\n', '\n', 'I am still deeply and totally in love with an old flame and i am married with 2 kids! I think about him every day and can not seem to get him off my mind. He is married with 2 kids also! Lives on the other side of the US! I try very hard to get him off my mind but i can not seem to do it!']",0
"['Which of course brings this story to the ""why?"" factor. Why might this be? I am not unattractive; I\'m 5\'1, petite, not overweight, and I have been told I\'m very attractive (not by males though). I frequently have crushes on guys I know, celebrities, and even random strangers I find attractive. I have a huge amount of lust simmering within that inevitably leads to immense frustration with this matter.']",0
"['Havent been doin\n', '\n', ""Havent been doin qt's as much as i should be. Also I should get more involved at church.""]",1
"['smoking\n', '\n', ""i started smoking when i 15 because i thought it made me look cool. the i.q. tests tell me i'm a genius. i have acquired much wisdom in love, life and philosophy. i am now 22 and i still think i do it because of the same reasons.""]",1
"['forgive me father cuz i have sinned\n', '\n', 'i have put drugs and alcohol before my children. am lazy in regards to making money to better my family. i do not keep in touch with my family like i should.']",0
"['lonely\n', '\n', 'i know that everyone in my family thinks that i am a loser and waste even though i am a good mother and wife and person in general.... this world is sooo evil.']",0
"['I have lied to her about everything\n', '\n', 'I have lied to my girlfriend about almost every facet of my life for the last 3 years; virtually nothing of what she believes about me is true.']",0
"['I need her next to me\n', '\n', ""I have a giant crush on another female in the building where I work. She is the reason I get out of bed, and go to work. I have never wanted to be with anyone as much as I want her. Problem #1 is she's married. Problem #2 is she's going to be the death of me. I'm required to do a lot of driving, and I can't concentrate on the task at hand. I just can't stop thinking about her. I know that being with her would be close to impossible, but I can dream, and believe me when I say I do. She's gorgeous (her eyes could melt the polar ice caps), smart, and witty. And if I die in a car wreck, and she's the last thing on my mind... then what a way to go. Who knows, maybe dreams can come true. I'm hoplessly hooked.""]",0
"[""My friends though? I can't stand them. Usually hanging out with them is alright, but once it comes to talking to them online. All I hear is attitude and backtalking. For instance... we were suppose to go to the mall and pick up a game, and about at 4:00 PM, I get a message from her, telling me that she's at my other friends house, giving me some excuse as to why she stood me up. That friend in question also bugs me, cause he's spoiled rotten. He lives with his grandma who spoils him, buying him a 42 inch LCD TV, a computer worth well 1,200 dollars, just about any game he wants, his grandpa gave him his truck... It just pisses me off since my family has no money at all, yet they spend theirs frivolously.""]",0
"['never gonna happen\n', '\n', 'your 17 years older than me yet i find myself thinking of you nonstop. when i saw you the other day i was so shocked that i hid. i love you but to u im nothing.']",0
"['Hit a Parked Car\n', '\n', 'I accidentally hit a parked car while I was trying to park today. I felt like a total idiot. I got out and checked the bumper of the other car and there was absolutely NO damage. However, I am absolutely terrified that someone may have seen me do it and called the cops. Now I am terrified that the cops will come and arrest me.']",1
"[""'You've really improved'.\n"", '\n', ""I was a horrible student in seventh and eighth grade. I got horrible grades and dressed lazily and just didn't care about anything. Come freshman year of high school, I tried harder, got Bs and one or two Cs. Now I am a sophomore in high school, getting As and Bs. My parents are telling me how proud they are of my and that I've really improved from my old self. It hurts to think that maybe they didn't like me two years ago, and every time they told me they loved me they might have been lying.""]",1
"[""I'm a bad person\n"", '\n', ""I've been with my guy for 3 years now, and most of the time, all I do is fantasize about other men. Exes, his friends, random bar guys, celebs - you name it. I guess I just wonder if that's normal...or if maybe I'm too young to get married. The problem is, I love him more than anything in the world. He is the best person for me, and I know that, I just wish I could stop thinking about other guys. It makes me feel so bad. But I haven't ever and wouldn't ever cheat on him. Am I a bad person?""]",0
"['I forgot him\n', '\n', ""I was friends with him for months. we dated for a month. it ended. i don't know how i feel. but one thing is for sure. sometimes i forget we were even together until i see a picture or him, or i think of how much money i spent that day. i am not sure if i miss him or the time wasted. its sad but true. i realize he was nothing to me, just something to keep me more busy. maybe that's what he figured out and broke it off. I never meant to hurt him, he was just to hard up. but again i forget we were together....is that bad?""]",1
"['Eating The Forbidden\n', '\n', ""I just found out today that this lasagna i have been eating and purchasing for over a year has pork in it now that is big deal for me as a muslim who has never had pork before except one time before my mistake but i spit it out, now im okey im over it and not buying that brand again but i have a friend who also happens to be muslim and has some really messed up things to say which could border on being a muslim fanatic even though he doesn't pray, the funny thing is that i FED HIM THAT PORK INFESTED LASAGNIA TWICE !! and ofcourrrrrrrrse he will never know""]",0
"['I used to fake as people\n', '\n', 'Well.. one day i used my friends picture as a joke i talked to him and he was like ""what the heck"" at first it was funny but then i got addicted taking other peoples pictures and pretending to be them i even used one in a game and got cought i quit the minute they found out it wasnt me and i vow to this day to never do it again']",1
"['LOSER\n', '\n', ""You are such a loser when you drink, y can't you act like the responsible person I know you can be. I hate you right now for everything you make me go through.""]",0
"['I hate my sister\n', '\n', ""I know it sounds really bad, but she is someone that I can't stand to be around. She is three years younger than me. I have to live in the same house as her. She is disgusting and just down-right mean. I don't even try to get along with her anymore, its useless. The little sister that I used to know is dead to me. Most people don't even know we're related. We don't even speak to each other while we're in the same house.""]",0
"['liar\n', '\n', ""I am a compulsive liar. I live a made up life that all of my friends think is true, but it isn't. They all think I came from a very wealthy family when my parents are actually really poor and i am embarrassed by my family. Sometimes I think about coming clean, but it would be too hard now. I have been telling this lie for 10 years.""]",0
"['Work\n', '\n', 'I have been managing a small hedge fund that has recently lost a lot of money 90%. The clients do not know as I intend to make it back, although, 2 are looking to get out of it entirely. And they happen to be my biggest investors. I do not have the capital though and am afraid to tell them as I have a family to provide for.']",1
